web-scraper-order,web-scraper-start-url,name,name-href,imgs-src,desc,sunlight,soil,maintenance,characteristics
1520335446-7185,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Darwin cultivars",http://www.gardening.cornell.edu/homegardening/scene295c.html,images/garden/photos_garden/Liliaceae/Tulipa/sp/Darwin_cultivars/whole_thumb.jpg,"Darwin Tulips are large and showy, with colorful, squarish, cup-shaped single blooms in vivid colors and color combinations. They may be a single color, or vividly marked with stripes, flames, feathers, or colored margins.",full sun,requires well-drained soil,"Remove faded flowers, and do not remove the foliage until it has yellowed and begun to die back (up to 6 weeks). These tulips do not perform well in Zones 7 to 9.  To grow in these Zones, purchase cold-treated bulbs and grow as annuals. A few cultivars are suited to perennial warmer growth.



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335456-7190,http://www.gardening.cornell.edu/homegardening/scenee139.html,Trillium,http://www.gardening.cornell.edu/homegardening/sceneca2b.html,images/garden/photos_garden/Liliaceae/Trillium/grandiflorum/whole_thumb.jpg,This wildflower makes a wonderful spring addition to woodland gardens and naturalized areas. Native populations in the Northeast threatened due to habitat loss and human harvesting. Only purchase cultivated plants that were not harvested from the wild.,part shade,requires well-drained soil,"Once planted, leave the plants undisturbed.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	native to North America



	 - Eastern North America"
1520335612-7266,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lily of the Valley,http://www.gardening.cornell.edu/homegardening/scene2835.html,images/garden/photos_garden/Liliaceae/Convallaria/majalis/whole_thumb.jpg,"Lily-of-the-Valley bears dainty white flowers with a strong, sweet perfume in spring.  It can be an aggressive groundcover given the right conditions of part shade and rich, moist soil, but it may struggle in warmer conditions of Zones 6 and 7.  Deer resistant.",full sun,requires well-drained soil,"Keep soil moist but not soggy.  With rich soil, moist conditions and part shade, plants may spread aggressively and need to be contained or dug out to prevent them from taking over-running less aggressive plants.



	



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Spreads by rhizomes.



		non-invasive



		



		



	



	native to North America



	 - Native to temperate regions of the Northern Hemisphere.



	



	fragrant



	 - Blooms are strong but sweetly fragrant.



	



	



	



	Special uses:



	



	



	



	



	



	







	



		



	



	naturalistic garden"
1520338369-7363,http://www.gardening.cornell.edu/homegardening/scenee139.html,Checkered lily,http://www.gardening.cornell.edu/homegardening/sceneb885.html,images/garden/photos_garden/Liliaceae/Fritillaria/meleagris/whole_thumb.jpg,"One of the most unusual plants in the springitme garden, Checkered Lily bears striking, boxy, pendulous maroon blooms with paler purple spotting in a checkerboard pattern. With grassy foliage and a loose, open growth habit, it is especially attractive in grassy naturalized areas.",part shade,requires damp soil,"Do not allow soil to dry out, even when plants are dormant.



	



	



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Spreads easily by seed.  Best grown in naturalized settings where it can freely roam.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe"
1520335594-7257,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Lupine, False",http://www.gardening.cornell.edu/homegardening/sceneb03f.html,images/garden/photos_garden/Fabaceae/Thermopsis/villosa/whole_thumb.jpg,"This native perennial's erect spikes of cheerful yellow blooms resemble lupines, but it's much easier to grow.",full sun,requires well-drained soil,"Plants may become leggy and require staking.  Cut back the faded flower spikes to encourage secondary bloom.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	native to North America



	 - Eastern United States



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	



	



	







	



	wildflowers"
1520335717-7317,http://www.gardening.cornell.edu/homegardening/scenee139.html,Gaura,http://www.gardening.cornell.edu/homegardening/scene9411.html,images/garden/photos_garden/Onagraceae/Gaura/lindheimeri/flower_thumb.jpg,"Upright and graceful, with willowy foliage, Gaura bears erect spikes of dainty white blooms. New varieties offer pink blooms and colored foliage.",full sun,tolerates droughty soil,"Cut back to 10” tall in the second growing season to keep growth vigorous.



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	native to North America



	 - Southern United States



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	



	



	







	



	wildflowers"
1520335516-7219,http://www.gardening.cornell.edu/homegardening/scenee139.html,Sea Lavender,http://www.gardening.cornell.edu/homegardening/scenee5b0.html,images/garden/photos_garden/Plumbaginaceae/Limonium/latifolium/whole_thumb.jpg,"Tolerant of droughty soil, this sun-loving perennial delivers dense clouds of blue to pink-purple flowers rising above dark green basal rosettes.  Delicate and airy in the garden and as a dried flower.",full sun,tolerates droughty soil,"Provide space between plants for adequate air circulation to reduce diseases.Usually does not need staking.Deadhead to prolong bloom.  Leave the attractive stems and flower heads for fall and winter interest, and cut back in spring.Plants don't need dividing.  Leave clumps undisturbed except to propagate.



	



	","Tolerates:



	



	



		



	



	salt



	



		



		



	







	Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe.



	evergreen



	 - Semi-evergreen to evergreen.



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - Cut when flowers are fully open, and hang in a warm, dry location to dry."
1520338609-7367,http://www.gardening.cornell.edu/homegardening/scenee139.html,Catmint,http://www.gardening.cornell.edu/homegardening/scene5507.html,images/garden/photos_garden/Lamiaceae/Nepeta/x_faassenii/whole_thumb.jpg,"While less attractive to cats than catnip, catmint's gray-green leaves and lavendar-blue flowers are more attractive.  Very drought-tolerant, use it in rock gardens, borders and as an edging.",full sun,tolerates droughty soil,"Plants seldom require division.Deadheading not necessary to prevent spreading, as seeds are sterile.  But may encourage continuous flowering through the season.Cutting plants back by half to two-thirds encourages fresh foliage growth.




	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Hybrid product of horticultural selection.  Parents from Turkey, Caucaus, Middle East.



	



	fragrant



	



	



	







	Attracts:



	



	beneficial insects



	



	



	



	



	



	Special uses:"
1520335460-7192,http://www.gardening.cornell.edu/homegardening/scenee139.html,Thunbergia,http://www.gardening.cornell.edu/homegardening/scene82fe.html,images/garden/photos_garden/Acanthaceae/Thunbergia/alata/whole_thumb.jpg,"This vining annual is great for hanging baskets and features dainty yellow, orange, or cream flowers with dense brown centers.",full sun,requires well-drained soil,"Provide trellis or support before planting. Deadhead to keep in bloom. Wilts easily, especially if grown in a container.  Keep soil moist but not soggy.



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Africa.



	



	



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335563-7242,http://www.gardening.cornell.edu/homegardening/scenee139.html,Pansy,http://www.gardening.cornell.edu/homegardening/scenede13.html,images/garden/photos_garden/Violaceae/Viola/x_wittrockiana/whole_thumb.jpg,"One of the earliest annual flowers to bloom in spring, Pansies sport brightly colored, face-like flowers in combinations of red, yellow, orange, blue, purple, pink, or white.  They prefer cool weather, and often die back and need to be removed when hot weather arrives.",full sun,requires well-drained soil,"Deadhead to prolong bloom.  Pinch to keep bushy. Keep soil moist but not soggy.  Remove plants when they die back from summer heat.



	



	



	","Tolerates:



	



	



	frost



	



	



		



		



		



	







	







	Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Hybrids of plants native to Europe.



	



	



	



	



	



	Special uses:



	



	



	



	



	edible flowers - Used as decorations and garnishes."
1520335647-7283,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Iris, Siberian",http://www.gardening.cornell.edu/homegardening/scene51d1.html,images/garden/photos_garden/Iridaceae/Iris/sp/Siberian_cultivars/whole_thumb.jpg,"Showy but easy to grow, Siberian Iris bears brightly colored, large blooms in shades of yellow, red, blue, purple, pink, white and orange. These plants are well suited to low-maintenance borders.",full sun,requires well-drained soil,"Plant the rhizomes with their tops beneath the soil surface. Fertilize with low-nitrogen fertilizer when planting, and refertilize with low nitrogen fertilizer in the spring. Divide when the clumps become overcrowded. May require staking. 




	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection.  Parents native to Eastern Europe, Russia, Turkey.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335466-7195,http://www.gardening.cornell.edu/homegardening/scenee139.html,Sweet Woodruff,http://www.gardening.cornell.edu/homegardening/scenea6bc.html,images/garden/photos_garden/Rubiaceae/Galium/odoratum/whole_thumb.jpg,"A delicate, scented woodland groundcover with tiny white blooms and unique umbrella-like foliage. Grows and spreads easily on moist, shady sites.",part shade,tolerates acid soil,"Keep soil moist to prolong growth into summer.  Often goes dormant or dies back in hot, dry weather, but rebounds with a flush of growth in fall. As a ground cover, makes an excellent carpeting for bulbs. 



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Under optimum conditions spreads rapidly by slender creeping rhizomes and self-seeding, but other plants can come up through the foliage.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe



	



	fragrant



	 - Flowers and leaves have a sweet scent of newly mown hay.



	



	



	



	Special uses:



	



	



	



	



	



	







	



		



	



	naturalistic garden"
1520337648-7351,http://www.gardening.cornell.edu/homegardening/scenee139.html,Corydalis,http://www.gardening.cornell.edu/homegardening/sceneb1f5.html,images/garden/photos_garden/Fumariaceae/Corydalis/lutea/whole_thumb.jpg,"Hardy only to Zone 5, this fern-like plant will thrive and spread in shady sites that are moist but well-drained.  Lacey pale blue-green foliage tiny, tubular yellow flowers with long blooming season brighten up somber spots.",part shade,requires well-drained soil,"Deadhead to prevent self-sowing and prolong bloom.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - This plant is an aggressive self-sower, and can be weedy under optimal conditions.



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe.



	evergreen



	 - Basal foliage may remain evergreen."
1520335526-7224,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Rue, Common",http://www.gardening.cornell.edu/homegardening/scene6ed6.html,images/garden/photos_garden/Rutaceae/Ruta/graveolens/whole_thumb.jpg,"Valued primarily for its unusual compund, blue-green foliage that retains color well into winter.  The 3-foot-tall plants are used as accents or clipped into a low hedge in formal gardens.  Caution:  Plants are toxic and can cause irritation with skin contact.",full sun,tolerates droughty soil,"Caution:  Rue is poisonous and can cause skin irritation.  Wear gloves and long sleeves.Prune stems back to 6 to 8 inches in early spring to shape plant and encourage new growth.Deadhead or remove flowers when they are just developing to prevent foliage from yellowing and fading.  Do not prune in late summer or plants may not harden off in time for winter.Seldom needs division.  May need mulching for winter protection.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		non-aggressive



		 - May self-seed.



		non-invasive



		



		



	



	not native to North America



	 - Native to the Balkan Peninsula and the Crimea but widely naturalized in Europe and North America.



	evergreen



	 - Semi-evergreen with foliage lasting well into winter.



	fragrant



	 - The foliage has a sharp, bitter acrid scent that many find disagreable.



	bears ornamental fruit



	 - Seedheads used in dried arrangements.



	







	Attracts:



	



	beneficial insects



	 - Provides a breeding area for tiny parasitic wasps that control whiteflies.



	



	



	



	



	Special uses:



	



	



	



	dried flowers - Seedheads are particularly attractive in dried arrangements."
1520335442-7183,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Fringe-Flowered cultivars",http://www.gardening.cornell.edu/homegardening/scenefa39.html,images/garden/photos_garden/Liliaceae/Tulipa/sp/fringe_flowered_cultivars/flower_thumb.jpg,"Fringe-Flowered Tulips are grown for their colorful, striking blooms, which are cup shaped with heavily fringed margins. They may be a single color, or vividly marked with stripes, flames, feathers, or colored margins.",full sun,requires well-drained soil,"Remove faded flowers, and do not remove the foliage until it has yellowed and begun to die back (up to 6 weeks).
 
These tulips do not perform well in Zones 7 to 9. To grow in these Zones, purchase cold-treated bulbs and grow as annuals. A few cultivars are suited to perennial warmer growth. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Product of horticultural selection.



	



	



	



	



	



	Special uses:



	



	



	cut flowers"
1520335670-7294,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Hyacinth, Armenian Grape",http://www.gardening.cornell.edu/homegardening/scene4971.html,images/garden/photos_garden/Liliaceae/Muscari/armeniacum/whole_thumb.jpg,Armenian Grape Hyacinths spread rapidly to form dense drifts of pale blue flower spikes that flower in mid- to late spring.  Blooms have a  grape-like aroma.,full sun,requires well-drained soil,"Divide clumps every 2 to 3 years in late summer or fall.



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		 - Spreads rapdly to form clumps, but is manageable.



		non-invasive



		



		



	



	not native to North America



	 - Native to the Mediterranean



	



	fragrant



	 - Blooms have an attractive grape-like aroma.



	



	



	



	Special uses:



	



	



	



	



	



	







	



		



	



	naturalistic garden"
1520335616-7268,http://www.gardening.cornell.edu/homegardening/scenee139.html,Lemon Balm,http://www.gardening.cornell.edu/homegardening/scene4048.html,images/garden/photos_garden/Lamiaceae/Melissa/officinalis/whole_thumb.jpg,"A vigorous and attractive lemon-scented perennial herb that tolerates poor, droughty soils. Spreads aggressively by rhizomes and self-seeding, but makes an attractive filler and background, especially variegated varieties.",full sun,tolerates droughty soil,"Cutting plants back after flowering will produce a fresh flush of attractive growth.  Remove flowers to prevent aggressive self-seeding.Plants will not tolerate high humidity and need good drainage, especially overwinter.Plants are more compact and have darker green foliage when grown in partial shade.




	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Self-sows readily and spreads by rhizomes.  Deadhead to prevent self-sowing.



		non-invasive



		



		



	



	not native to North America



	 - Native to Middle East but naturalized widely in Europe and U.S.



	



	fragrant



	 - Whole plant is lemon-scented.



	



	







	Attracts:



	



	beneficial insects



	 - Bees.



	



	



	



	



	Special uses:"
1520335413-7169,http://www.gardening.cornell.edu/homegardening/scenee139.html,Viola,http://www.gardening.cornell.edu/homegardening/scened3e3.html,images/garden/photos_garden/Violaceae/Viola/tricolor/whole_thumb.jpg,"Violas, with their cheery yellow and purple flowers, are early-blooming annuals that mark the coming of spring in the garden.  They prefer cool weather, and often die back and need to be removed when hot weather arrives.",full sun,requires well-drained soil,"Deadhead to prolong blooming.  Pinch to keep bushy. Keep soil moist but not soggy.



	



	



	","Tolerates:



	



	



	frost



	



	



		



		



		



	







	







	Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native to Europe, Asia.



	



	



	



	



	



	Special uses:



	



	



	



	



	edible flowers - Used as decorations and garnishes."
1520335715-7316,http://www.gardening.cornell.edu/homegardening/scenee139.html,Gazania,http://www.gardening.cornell.edu/homegardening/scene5877.html,images/garden/photos_garden/Asteraceae/Gazania/ringens/whole_thumb.jpg,"The unreal, vividly colored flowers of this South African plant bring a touch of the exotic to the garden.  Excellent for sun-baked sites with dry soil.",full sun,tolerates droughty soil,"Deadhead to encourage bloom.



	



	



	","Tolerates:



	



	



		



	



	salt



	



		



	



	heat



	



		



	







	







	Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - South Africa



	



	



	



	







	Attracts:



	



	



	butterflies



	



	



	



	



	Special uses:



	



	



	



	



	



	direct-seeding"
1520335548-7235,http://www.gardening.cornell.edu/homegardening/scenee139.html,Plume Poppy,http://www.gardening.cornell.edu/homegardening/scene60c8.html,images/garden/photos_garden/Papaveraceae/Macleaya/cordata/whole_thumb.jpg,"Tall and striking, Plume Poppy makes a great border background with its unique foliage and spikes of fluffy blooms.  Very aggressive and requires considerable effort to keep under control.",full sun,requires well-drained soil,"Very aggressive.  Consider planting in its own bed.Divide to keep clump size manageable.Cut back by half in spring for shorter plants and delay flowering.Deadhead to prolong bloom and prevent self-seeding.Usually does not require staking.



	



	","Special characteristics:



	



	deer resistant



	



	



	



		



		aggressive



		 - Rapidly forms large clumps.  Control spread by dividing every 3 to 4 years and deadheading to prevent self-seeding.



		non-invasive



		



		



	



	not native to North America



	 - Native to China and Japan."
1520336026-7324,http://www.gardening.cornell.edu/homegardening/scenee139.html,Fennel,http://www.gardening.cornell.edu/homegardening/scene994c.html,images/garden/photos_garden/Apiaceae/Foeniculum/vulgare/whole_thumb.jpg,"The dark, fine-textured foliage of this short-lived perennial herb combined with its height (up to 6 feet tall) make it a great background for borders or herb gardens.  It attracts beneficial insects and feeds the catepillars that morph into swallowtail butterflies.",full sun,tolerates acid soil,"Cut back plants to force them to become bushier.  If they get too leggy stake them.Deadhead to prevent aggressive reseeding.  Some seeding is desirable to replace plants that die.  (Fennel is a short-lived perennial.)  Flowers attract beneficial insects, so don't cut them before they start to fade.  Foliage is also a favorite food of the catepillars of swallowtail butterflies.Cut plants back to the ground after hard freeze.Caution:  Contact with plant juices and exposure to sun can cause skin irritation.



	



	","Tolerates:



	



	



	



	wind - But not salty winds off the ocean. 



	



		



		



		



	







	







	Special characteristics:



	



	



	



		



		aggressive



		 - Self-sows and can become a weed problem if not deadheaded.  Some seeding is helpful to replace older plants.



		non-invasive



		



		



	



	not native to North America



	 - Native to southern Europe.




	



	fragrant



	 - The whole plant is anise-scented, the young foliage having a specially pungent anise-like flavor and fragrance.  Dried seed is sweetly fragrant, although fresh seed has a slightly unpleasant smell.



	



	







	Attracts:



	



	beneficial insects



	 - Flowering plants attract bees, parastic wasps and hoverflies. 



	



	



	



	



	Special uses:



	



	



	



	



	



	edible landscaping"
1520335561-7241,http://www.gardening.cornell.edu/homegardening/scenee139.html,Pearly Everlasting,http://www.gardening.cornell.edu/homegardening/scene67d1.html,images/garden/photos_garden/Asteraceae/Anaphalis/sp/flower_thumb.jpg,Pearly everlastings are prized for their long bloom period and gray-white foliage.  The  attractive floral heads with pearly white bracts are dried and widely used in preserved floral arrangments.,full sun,requires damp soil,"Keep soil moist but not soggy at all times.  Foliage fades in dry soil.  Remove dead leaves to keep looking neat. Deadhead when flowers fade. Cut plants back severely if foliage becomes overdry. Allow the dead foliage to remain over the winter, cut back in spring.



	



	","Special characteristics:



	



	



	



		



		aggressive



		 - All species, with the  exception of  A. triplenervis send out stolons that can overrun the garden.



		non-invasive



		



		



	



	not native to North America



	 - Native to Asia. 



	



	



	



	



	



	Special uses:



	



	



	cut flowers



	



	



	



	dried flowers - The showy heads of pearly white floral bracts are dried for use in arrangements."
1520335438-7181,http://www.gardening.cornell.edu/homegardening/scenee139.html,"Tulip, Humilis",http://www.gardening.cornell.edu/homegardening/scene6d7f.html,images/garden/photos_garden/Liliaceae/Tulipa/humilis/whole_thumb.jpg,"Humilis Tulips grow less than a foot tall and have yellow-eyed pink or purple blooms. The blooms often have yellow or white margins, and showy green or black markings.",full sun,requires well-drained soil,"Remove faded flowers after blooming. After spring blooming, allow the foliage to die back (about 6 weeks) before cutting back. Do not cut back unfaded foliage. 



	



	



	



	","Special characteristics:



	



	



	



		



		non-aggressive



		



		non-invasive



		



		



	



	not native to North America



	 - Native from Asia Minor to the Himalayas."
